0;1;4;5;6;7;8;9;10;11;12;13;14;17;21;22;24;25;27;31;32;33;34;36;37;38;39;41;42;43;44;46;47;48;49;50;54;55;56;57;58;59;61;62;63;64;66;69;70;72;73;75;76;77;78;80;82;83;85;86;87;89;92;93;94;95;96;98;99
1;0
2;81
3;81
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;81
16;97
17;0
18;97
19;97
20;81
21;0
22;0
23;99
24;0
25;0
26;81
27;0
28;97
29;81
30;99
31;0
32;0
33;0
34;0
35;81
36;0
37;0
38;0
39;0
40;81
41;0
42;0
43;0
44;0
45;81
46;0
47;0
48;0
49;0
50;0
51;99
52;81
53;81
54;0
55;0
56;0
57;0
58;0
59;0
60;81
61;0
62;0
63;0
64;0
65;97
66;0
67;81
68;97
69;0
70;0
71;97
72;0
73;0
74;97
75;0
76;0
77;0
78;0
79;97
80;0
81;99;2;3;15;20;26;29;35;40;45;52;53;60;67;88;90;97
82;0
83;0
84;97
85;0
86;0
87;0
88;81
89;0
90;81
91;97
92;0
93;0
94;0
95;0
96;0
97;81;16;18;19;28;65;68;71;74;79;84;91
98;0
99;0;23;30;51;81
