source;target;label
0;8;70.03
0;5;69.40
0;13;22.46
0;16;10.69
1;29;79.96
1;18;86.70
1;22;12.61
1;15;27.78
1;26;68.88
2;14;39.19
3;16;26.92
3;22;13.51
4;26;24.29
4;9;70.47
4;12;24.73
5;12;29.17
5;0;69.40
6;25;37.97
7;8;11.38
7;10;21.93
8;15;43.44
8;12;47.88
8;23;83.89
8;24;72.41
8;19;54.18
8;0;70.03
8;7;11.38
9;24;9.10
9;4;70.47
9;23;64.26
9;14;10.11
10;25;63.19
10;7;21.93
11;26;68.56
12;8;47.88
12;16;56.27
12;5;29.17
12;4;24.73
12;22;65.96
13;25;18.30
13;29;77.13
13;17;41.76
13;0;22.46
14;23;75.26
14;2;39.19
14;9;10.11
15;8;43.44
15;18;7.32
15;1;27.78
15;29;49.96
15;28;31.37
16;20;28.29
16;12;56.27
16;3;26.92
16;22;4.59
16;0;10.69
17;13;41.76
18;1;86.70
18;15;7.32
19;8;54.18
19;20;57.85
20;16;28.29
20;19;57.85
20;21;42.42
21;28;32.95
21;20;42.42
22;3;13.51
22;1;12.61
22;23;71.17
22;16;4.59
22;12;65.96
23;8;83.89
23;14;75.26
23;9;64.26
23;22;71.17
24;8;72.41
24;9;9.10
24;25;3.45
25;13;18.30
25;10;63.19
25;24;3.45
25;6;37.97
26;11;68.56
26;4;24.29
26;1;68.88
26;27;54.08
27;26;54.08
28;21;32.95
28;15;31.37
29;1;79.96
29;15;49.96
29;13;77.13
