source;target;label
0;3;62.89
1;28;82.16
1;14;82.03
1;11;37.99
2;26;82.64
2;9;87.38
2;12;83.18
3;0;62.89
3;5;61.01
4;11;35.72
4;18;86.39
4;22;31.77
5;3;61.01
5;25;75.99
6;7;64.91
7;28;79.53
7;6;64.91
8;21;59.19
9;2;87.38
11;1;37.99
11;17;71.61
11;4;35.72
12;2;83.18
12;16;79.65
13;21;49.44
13;27;58.05
13;29;21.10
14;1;82.03
14;15;67.02
15;14;67.02
15;21;62.52
16;12;79.65
17;11;71.61
18;4;86.39
19;23;20.46
20;28;45.41
21;15;62.52
21;8;59.19
21;26;53.57
21;13;49.44
22;4;31.77
23;25;76.51
23;24;48.92
23;19;20.46
24;23;48.92
24;28;89.75
25;5;75.99
25;23;76.51
26;21;53.57
26;2;82.64
27;13;58.05
28;24;89.75
28;1;82.16
28;7;79.53
28;20;45.41
29;13;21.10
