0;20
1;46;345
2;42;65
3;60;43
4;364;13
5;35;176
6;80;364
7;85;199
8;116;34
9;34;322
10;136;224
11;24;172
12;334;158
13;4;102
14;255;428
15;266;185
16;190;28
17;363;263
18;146;134
19;64;218
20;0;29
21;36;40
22;65;190
23;279;62
24;276;11
25;478;305
26;238;183
27;197;166
28;16;228
29;20;194
30;296;333
31;105;203
32;82;123
33;63;70
34;8;9
35;115;5
36;166;21
37;182;126
38;330;153
39;41;114
40;21;193
41;58;39
42;214;2
43;3;80
44;137;121
45;243;475
46;156;1
47;183;67
48;111;319
49;198;104
50;180;281
51;165;161
52;203;85
53;107;136
54;224;82
55;159;212
56;221;344
57;158;202
58;84;41
59;86;264
60;125;3
61;134;68
62;23;69
63;102;33
64;249;19
65;2;22
66;206;167
67;47;426
68;61;363
69;62;178
70;33;214
71;281;275
72;240;330
73;406;353
74;96;84
75;88;109
76;139;154
77;191;94
78;360;395
79;271;349
80;43;6
81;188;215
82;54;32
83;176;135
84;74;58
85;52;7
86;108;59
87;233;168
88;123;75
89;95;179
90;247;245
91;154;110
92;287;303
93;425;494;327
94;77;164
95;199;89
96;101;74
97;110;210
98;120;159
99;172;324
100;244;491
101;169;96
102;13;63
103;379;189
104;49;156
105;135;31
106;494;455
107;127;53
108;122;86
109;75;249
110;91;97
111;112;48
112;306;111
113;163;310
114;39;191
115;128;35
116;143;8
117;262;312
118;310;286
119;311;236
120;161;98
121;44;145
122;186;108
123;32;88
124;171;261
125;193;60
126;37;204
127;212;107
128;181;115
129;475;306
130;230;241
131;285;296
132;184;304
133;400;471
134;18;61
135;83;105
136;53;10
137;223;44
138;153;392
139;263;76
140;324;258
141;468;486;436
142;231;292;332
143;194;116
144;303;390
145;121;211
146;245;18
147;179;337
148;372;277
149;189;180
150;253;173
151;174;338
152;362;441
153;38;138
154;76;91
155;417;301
156;104;46
157;274;372
158;12;57
159;98;55
160;275;208
161;51;120
162;301;174
163;412;113
164;94;186
165;228;51
166;27;36
167;66;447
168;87;169
169;168;101
170;248;267
171;418;124
172;11;99
173;150;481
174;162;151
175;185;381
176;5;83
177;419;418
178;69;200
179;89;147
180;149;50
181;264;128
182;211;37
183;26;47
184;202;132
185;15;175
186;164;122
187;415;380
188;201;81
189;103;149
190;22;16
191;114;77
192;219;341
193;40;125
194;29;143
195;491;331
196;236;379
197;322;27
198;273;49
199;7;95
200;178;273
201;277;188
202;57;184
203;31;52
204;126;290
205;220;285
206;340;66
207;226;432
208;160;279
209;258;238
210;97;334
211;145;182
212;55;127
213;319;298
214;70;42
215;81;220
216;256;420
217;349;470
218;19;233
219;232;192
220;215;205
221;389;56
222;290;311
223;304;137
224;10;54
225;408
226;347;207
227;390;362
228;28;165
229;474;406
230;283;130
231;267;142
232;378;219
233;218;87
234;374
235;333;302
236;119;196
237;467
238;209;26
239;331;336
240;329;72
241;130;417
242;299;316
243;345;45
244;286;100
245;90;146
246;326;412
247;426;90
248;293;170
249;109;64
250;252;387
251;369;483
252;314;250
253;344;150
254;284;458
255;427;14
256;431;216;484
257;473;352
258;140;209
259;441;440
260;291;326
261;124;294
262;470;117
263;17;139
264;59;181
265;278;430
266;342;15
267;170;231
268;341;404
269;443
270;476;314
271;392;79
272;416;463
273;200;198
274;312;157
275;71;160
