0;202
1;321;220
2;17;150
3;433;469
4;13;34
5;157;119
6;88;27
7;22;25
8;282;50
9;129;149
10;68;117
11;241;209
12;219;47
13;18;4
14;82;134;156
15;132;175
16;35;54
17;202;2
18;100;13;415
19;112;41
20;84;36
21;40;49
22;170;7
23;85;89
24;70;37
25;7;29
26;59;64
27;6;133
28;115;33
29;25;46
30;34;43
31;152;83
32;74;203
33;28;141
34;4;30
35;83;16
36;20;53
37;24;84
38;52;55
39;51;218;455
40;149;21
41;19;58
42;458;59
43;30;293
44;259;48
45;246;80
46;29;101
47;12;87
48;44;52
49;21;78
50;8;129
51;210;39
52;48;38
53;36;121
54;16;75
55;38;68
56;180;63
57;300;224
58;41;104
59;42;26
60;197;67
61;301;90
62;334;118
63;56;107
64;26;105
65;181;114
66;138;70
67;60;158
68;55;10
69;156;166
70;66;24
71;376;110
72;92;109
73;260;82
74;407;32
75;54;79
76;128;204
77;399;99
78;49;236
79;75;112
80;45;93;427
81;134;116
82;73;14;380
83;31;35
84;37;20
85;109;23
86;125;94
87;47;103
88;105;6
89;23;96
90;61;139
91;250;436
92;113;72
93;80;232
94;86;146
95;142;102
96;89;100
97;249;216
98;146;292
99;77;255;483
100;96;18
101;46;240
102;95;356
103;87;180
104;58;111
105;64;88
106;245;170
107;63;252
108;385;143
109;72;85
110;71;191
111;104;120
112;79;19
113;265;92
114;65;250
115;253;28
116;81
117;10;173
118;62;208
119;5;186
120;111;124
121;53;161
122;144;132
123;135;197
124;120;145
125;264;86
126;136;207
127;172;283
128;291;76
129;50;9
130;205;171
131;201;164
132;122;15
133;27;189
134;14;81
135;188;123
136;164;126
137;147;251
138;183;66
139;90;153
140;231;473
141;33;160
142;243;95
143;108;162
144;326;122
145;124;159
146;94;98
147;279;137
148;236;188
149;9;40
150;2;163
151;213;421
152;169;31
153;139;184
154;207;195
155;162;290
156;14;69
157;329;5
158;67;179
159;145;201
160;141;187;466
161;121;234
162;143;155
163;150;167
164;131;136
165;189;237
166;69;194
167;163;183
168;412;316
169;221;152
170;106;22
171;130;190
172;222;127
173;117;407
174;469;395;481
175;15;177
176;263;215
177;175;288
178;182;243
179;158;226
180;103;56
181;230;65
182;358;178
183;167;138
184;153;264
185;224;238
186;119;246
187;160;322
188;148;135
189;133;165;228
190;171;200;419
191;110;196
192;277;212
193;309;344;353
194;166;309
195;154;235
196;191;210
197;123;60
198;419;355
199;456;433
200;190;308
201;159;131
202;0;17
203;32;241
204;76;213
205;345;130
206;423;272
207;126;154
208;118;254
209;11
210;196;51
211;347;362
212;192;385
213;204;151
214;268;247
215;176;219
216;97;282
217;408;294;305
218;39;231
219;215;12
220;1;302
221;229;169
222;248;172
223;353;297
224;57;185
225;295;227
226;179;230
227;225;300
228;189;258
229;366;221
230;226;181
231;218;140
232;93;263;338
233;262;364
234;161;257
235;195;242
236;78;148
237;165;368
238;185;244
239;384;279
240;101;261
241;203;11;275
242;235;311
243;178;142
244;238;321
245;417;106
246;186;45
247;214;289
248;270;222
249;395;97
250;114;91;296
251;137;435
252;107;276
253;332;115
254;208;366
255;99;295
256;449;325
257;234;274
258;228;269
259;288;44;444
260;306;73
261;240;307
262;306;233
263;232;176
264;184;125
265;297;113
266;490;315
267;290;425
268;464;214
269;258;285
270;319;248
271;340;359;416
272;206;393
273;392;391
274;257;390
275;241;375
276;252;303
277;322;192
278;427;280
279;239;147
280;278;314
281;355;346
282;216;8;328
283;127;286;485
284;285;350
285;269;284
286;283;373
287;331;360
288;177;259
289;247;334
290;155;267
291;377;128
292;98;458
293;43;320
294;217;331
295;255;225
296;250;400
297;223;265
298;349;318
299;324;313
300;227;57
301;390;61
302;220;384
303;276;312
304;318;327
305;217;310
306;307;260;262
307;261;306
308;200;440
309;194;193;472
310;305;406;437
311;242;372;460
312;303;377
313;299;333
314;280;341
315;266;383
316;168;418
317;393;411;447
318;298;304
319;391;270
320;293;399
321;244;1
322;187;277
323;338;335
324;375;299
325;256;405
326;452;144;330
327;304;382
328;282
329;454;157;486
330;326;453
331;294;287;354
332;400;253
333;313;342
334;289;62
335;323;379
336;378;348
337;372;345
338;232;323
339;432
340;428;271
341;314;494;495
342;333;358
343;474;367;454
344;193;386
345;337;205
346;281;451;457
347;367;211
348;336;363
349;356;298
350;284;438
351;457;477
352;365;404;413
353;193;223
354;331;369
355;198;281
356;102;349
357;477
358;342;182
359;271
360;287
361;421;417
362;211
363;348;443
364;233;370;401
365;475;352
366;254;229
367;343;347;394
368;237;426
369;354
370;364
371;447;468
372;311;337
373;286;410
374;380;498
375;275;324
376;405;71
377;312;291
378;387;336
379;335;403
380;82;374
381;451;463;474
382;327;398;423
383;315;422;442
384;302;239;432
385;212;108
386;344;402;480
387;389;378;420
388;406
389;398;387
390;274;301
391;273;319
392;397;273
393;272;317
394;367
395;174;249
396;443;450
397;457;392
398;382;389;487
399;320;77
400;296;332
401;364;429
402;386;414
403;379;465
404;352;493
405;325;376;484
406;310;388
407;173;74
408;435;217
409;487;431;441
410;373;449
411;317
412;432;168;467
413;352;491
414;402
415;18;428
416;271;434
417;361;245
418;316;462
419;190;198
420;387
421;151;361
422;383
423;382;206
424;473;490
425;267;430;464
426;368;479
427;80;278;497
428;415;340
429;401;496
430;425
431;409
432;384;339;412
433;199;3
434;416;448
435;251;408;445;475
436;91
437;310;452
438;350;456;470
439;488
440;308;459
441;409;492
442;383
443;363;396
444;259
445;435
446;465
447;317;371
448;434;461
449;410;256
450;396;478
451;346;381
452;437;326
453;330
454;343;329
455;39
456;438;199;489
457;346;351;397
458;292;42
459;440
460;311
461;448
462;418
463;381;488
464;425;268
465;403;446
466;160
467;412
468;371
469;3;174
470;438;471;482
471;470
472;309
473;140;424
474;381;343
475;435;365
476;499
477;351;357
478;450
479;426
480;386
481;174
482;470
483;99
484;405;499
485;283
486;329
487;398;409
488;463;439
489;456
490;424;266
491;413
492;441
493;404
494;341
495;341
496;429
497;427
498;374
499;484;476
